;Unnamed: 0;algorithm;mse;rmse;r2;adj_r2;mae
18;18;air_transport/word2vec_cbow_10000000_100,txt;21786326,15;4667,58;0,0794;1,8845;3982,41
19;19;air_transport/word2vec_cbow_10000000_100,txt;21497497,98;4636,54;0,0916;1,8728;3948,43
20;20;air_transport/word2vec_cbow_10000000_100,txt;21370517,71;4622,83;0,0969;1,8676;3908,68
21;21;air_transport/word2vec_cbow_10000000_100,txt;21766148,44;4665,42;0,0802;1,8837;3921,56
22;22;air_transport/word2vec_cbow_10000000_100,txt;21748634,85;4663,54;0,081;1,883;3973,79
23;23;air_transport/word2vec_cbow_10000000_100,txt;21978528,48;4688,13;0,0713;1,8923;3936,37
24;24;air_transport/word2vec_cbow_10000000_100,txt;22170467,44;4708,55;0,0631;1,9001;3987,2
25;25;air_transport/word2vec_cbow_10000000_100,txt;21422454,45;4628,44;0,0948;1,8697;3890,02
26;26;air_transport/word2vec_cbow_10000000_100,txt;21565679,69;4643,89;0,0887;1,8756;3935,03
27;27;air_transport/word2vec_cbow_10000000_100,txt;21642830,74;4652,19;0,0854;1,8787;3939,63
28;28;air_transport/word2vec_cbow_10000000_100,txt;22071506,76;4698,03;0,0673;1,8961;3967,01
29;29;air_transport/word2vec_cbow_10000000_100,txt;21539818,43;4641,1;0,0898;1,8745;3915,19
30;30;air_transport/word2vec_cbow_10000000_100,txt;21616089,24;4649,31;0,0866;1,8776;3948,57
31;31;air_transport/word2vec_cbow_10000000_100,txt;21788828,54;4667,85;0,0793;1,8846;3978,01
32;32;air_transport/word2vec_cbow_10000000_100,txt;22027084,32;4693,3;0,0692;1,8943;3977,55
33;33;air_transport/word2vec_cbow_10000000_100,txt;20933785,33;4575,35;0,1154;1,8499;3856,89
34;34;air_transport/word2vec_cbow_10000000_100,txt;21983915,39;4688,7;0,071;1,8925;3986,73
35;35;air_transport/word2vec_cbow_10000000_100,txt;21396775,95;4625,66;0,0958;1,8687;3930,48
36;36;air_transport/word2vec_cbow_10000000_100,txt;21937350,39;4683,73;0,073;1,8907;3947,7
37;37;air_transport/word2vec_cbow_10000000_100,txt;21492798,22;4636,03;0,0918;1,8726;3944,76
38;38;air_transport/word2vec_cbow_10000000_100,txt;21561674,52;4643,46;0,0889;1,8754;3939,45
39;39;air_transport/word2vec_cbow_10000000_100,txt;21723437,12;4660,84;0,082;1,882;3921,58
40;40;air_transport/word2vec_cbow_10000000_100,txt;20534840,39;4531,54;0,1323;1,8337;3852,93
41;41;air_transport/word2vec_cbow_10000000_100,txt;21117835,27;4595,41;0,1076;1,8574;3941,21
42;42;air_transport/word2vec_cbow_10000000_100,txt;21458332,84;4632,31;0,0932;1,8712;3951,75
43;43;air_transport/word2vec_cbow_10000000_100,txt;22499856,28;4743,4;0,0492;1,9135;3996,91
44;44;air_transport/word2vec_cbow_10000000_100,txt;21380320,35;4623,89;0,0965;1,868;3935,11
45;45;air_transport/word2vec_cbow_10000000_100,txt;21401104,71;4626,13;0,0957;1,8689;3948,85
46;46;air_transport/word2vec_cbow_10000000_100,txt;22180430,85;4709,61;0,0627;1,9005;3983,06
47;47;air_transport/word2vec_cbow_10000000_100,txt;21655443,09;4653,54;0,0849;1,8792;3986,02
48;48;air_transport/word2vec_cbow_10000000_100,txt;21339547,57;4619,47;0,0983;1,8664;3928,73
49;49;air_transport/word2vec_cbow_10000000_100,txt;21791661,63;4668,15;0,0791;1,8847;3983,3
0;0;air_transport/word2vec_cbow_10000000_100,txt;40056065,69;6328,99;0,1217;1,8438;4879,73
1;1;air_transport/word2vec_cbow_10000000_100,txt;41548385,46;6445,8;0,089;1,8752;4944,5
2;2;air_transport/word2vec_cbow_10000000_100,txt;40624991,88;6373,77;0,1093;1,8558;4942,24
3;3;air_transport/word2vec_cbow_10000000_100,txt;41513358,46;6443,09;0,0898;1,8745;4989,37
4;4;air_transport/word2vec_cbow_10000000_100,txt;41403262,05;6434,54;0,0922;1,8722;4977,43
5;5;air_transport/word2vec_cbow_10000000_100,txt;41490972,24;6441,35;0,0903;1,874;5034,24
6;6;air_transport/word2vec_cbow_10000000_100,txt;41652904,66;6453,91;0,0867;1,8775;4979,45
7;7;air_transport/word2vec_cbow_10000000_100,txt;41925792,74;6475,01;0,0808;1,8832;5019,89
8;8;air_transport/word2vec_cbow_10000000_100,txt;40925964,59;6397,34;0,1027;1,8621;4930,9
9;9;air_transport/word2vec_cbow_10000000_100,txt;41369374,03;6431,9;0,093;1,8715;4979,11
10;10;air_transport/word2vec_cbow_10000000_100,txt;40169747,44;6337,96;0,1193;1,8462;4939,06
11;11;air_transport/word2vec_cbow_10000000_100,txt;41159642,37;6415,58;0,0976;1,8671;4952,8
12;12;air_transport/word2vec_cbow_10000000_100,txt;41194649,86;6418,31;0,0968;1,8678;4966,32
13;13;air_transport/word2vec_cbow_10000000_100,txt;41493128,96;6441,52;0,0902;1,8741;4970,78
14;14;air_transport/word2vec_cbow_10000000_100,txt;39548477,39;6288,76;0,1329;1,8331;4867,99
15;15;air_transport/word2vec_cbow_10000000_100,txt;41337478,39;6429,42;0,0937;1,8708;4983,25
16;16;air_transport/word2vec_cbow_10000000_100,txt;40738317,79;6382,66;0,1068;1,8582;4953,5
17;17;air_transport/word2vec_cbow_10000000_100,txt;40945754,85;6398,89;0,1022;1,8626;4890,04
18;18;air_transport/word2vec_cbow_10000000_100,txt;41773352,81;6463,23;0,0841;1,88;5009,02
19;19;air_transport/word2vec_cbow_10000000_100,txt;41677810,62;6455,84;0,0862;1,878;5006,46
20;20;air_transport/word2vec_cbow_10000000_100,txt;41183380,79;6417,43;0,097;1,8676;5002,82
21;21;air_transport/word2vec_cbow_10000000_100,txt;40137689,34;6335,43;0,12;1,8455;4901,83
22;22;air_transport/word2vec_cbow_10000000_100,txt;39512062,74;6285,86;0,1337;1,8324;4813,89
23;23;air_transport/word2vec_cbow_10000000_100,txt;41592737,5;6449,24;0,0881;1,8762;4991,44
24;24;air_transport/word2vec_cbow_10000000_100,txt;41585196,23;6448,66;0,0882;1,876;4949,37
25;25;air_transport/word2vec_cbow_10000000_100,txt;41233448,04;6421,33;0,0959;1,8686;4976,37
26;26;air_transport/word2vec_cbow_10000000_100,txt;41586439,62;6448,75;0,0882;1,876;5008,3
27;27;air_transport/word2vec_cbow_10000000_100,txt;40249558,51;6344,25;0,1175;1,8479;4917,61
28;28;air_transport/word2vec_cbow_10000000_100,txt;39690992,13;6300,08;0,1298;1,8361;4878,77
29;29;air_transport/word2vec_cbow_10000000_100,txt;41441343,19;6437,5;0,0914;1,873;5011,37
30;30;air_transport/word2vec_cbow_10000000_100,txt;42576688,62;6525,08;0,0665;1,8969;5018,67
31;31;air_transport/word2vec_cbow_10000000_100,txt;41059807,82;6407,79;0,0997;1,865;4952,07
32;32;air_transport/word2vec_cbow_10000000_100,txt;42873925,87;6547,82;0,06;1,9032;5083,79
33;33;air_transport/word2vec_cbow_10000000_100,txt;41823123,37;6467,08;0,083;1,881;4986,44
34;34;air_transport/word2vec_cbow_10000000_100,txt;41241091,11;6421,92;0,0958;1,8688;4944,1
35;35;air_transport/word2vec_cbow_10000000_100,txt;42168663,72;6493,74;0,0754;1,8883;5021,68
36;36;air_transport/word2vec_cbow_10000000_100,txt;42271629,8;6501,66;0,0732;1,8905;5046,63
37;37;air_transport/word2vec_cbow_10000000_100,txt;40808409,45;6388,15;0,1053;1,8597;4944,64
38;38;air_transport/word2vec_cbow_10000000_100,txt;41389242,16;6433,45;0,0925;1,8719;4958,6
39;39;air_transport/word2vec_cbow_10000000_100,txt;42213173,7;6497,17;0,0745;1,8893;5087,43
40;40;air_transport/word2vec_cbow_10000000_100,txt;40777282,1;6385,71;0,1059;1,859;4953,63
41;41;air_transport/word2vec_cbow_10000000_100,txt;41238095,61;6421,69;0,0958;1,8687;4957,88
